"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",33,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",49,"left","low","False","False",999,1350,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",34,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",51,"right","medium","True","False",355,1450,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",35,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",51,"right","medium","True","False",2224,1550,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",36,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",51,"right","medium","False","False",620,1500,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",37,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",51,"right","medium","True","False",475,1600,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",38,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",877,1700,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",39,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",556,1800,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",40,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",51,"right","medium","True","False",2148,1900,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",41,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","black",51,"right","low","False","False",1699,1850,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",42,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",49,"left","high","True","False",388,1950,NA
